1 29.184
2 58.864
3 436.16
4 53.504
5 786.256
6 103.888
7 504.504
8 23.6
9 16.352
10 1224.7
11 712.704
12 303.68
13 634.88
14 130.784
15 368.88
16 60.32
17 618.496
18 573.44
19 286.528
20 602.112
21 20.976
22 593.92
23 239.616
24 622.592
25 577.536
26 638.976
27 622.592
28 265.816
29 602.112
30 626.688
31 72.36
32 199.064
33 651.264
34 256.8
35 552.96
36 364.416
37 328.208
38 565.248
39 41.616
40 166.464
41 22.368
42 155.04
43 83.928
44 222.856
45 145.848
46 302.784
47 111.72
48 50.784
49 365.944
50 28.6
51 175.392
52 140.904
53 226.8
54 291.264
55 48.8
56 514.304
57 96.96
58 266.832
59 147.168
60 55.2
61 823.296
62 622.592
63 630.784
64 26
65 589.824
66 1.208
67 159.048
68 279.664
69 156.728
70 5.84
71 105.4
72 598.016
73 165.6
74 46.472
75 569.344
76 598.016
77 598.016
78 12.232
79 663.552
80 50.4
81 577.536
82 421.824
83 57.792
84 589.824
85 585.728
86 28.8
87 116.8
88 593.92
89 206.568
90 630.784
91 173.352
92 233.376
93 117.688
94 177.008
95 123.968
96 172.8
97 248.16
98 194.016
99 103.32
