1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 27
12 40
13 24
14 30
15 43
16 48
17 33
18 15
19 4
20 18
21 33
22 50
23 29
24 38
25 40
26 28
27 8
28 16
29 5
30 45
31 30
32 23
33 28
34 33
35 51
36 24
37 27
38 13
39 18
40 22
41 5
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
50 0
51 0
52 0
53 0
54 0
55 0
56 0
57 0
58 0
59 0
60 0
61 17
62 37
63 49
64 62
65 28
66 18
67 44
68 25
69 20
70 55
71 40
72 44
73 29
74 39
75 46
76 19
77 32
78 20
79 52
80 57
81 43
82 30
83 49
84 38
85 31
86 45
87 54
88 41
89 49
90 38
91 15
92 2
93 0
94 0
95 0
96 0
97 0
98 0
99 0
